"課程名稱","A分數","A判定理由","B分數","B判定理由","C分數","C判定理由","D分數","D判定理由","整體判定","主要依據","證據不足處"
"人工智慧基礎程式設計","0","課程大綱僅寫「奠定學生Python程式設計基礎」，未提及 AI 工具、AI 學習、提示詞、AI 輔助學習或自主學習歷程，因此不能判定有運用 AI 學習的能力。","0","課程名稱雖含「人工智慧」，但大綱未出現 AI 倫理、法規、個資、偏誤、風險、責任或治理等內容，因此不能判定有負責任使用 AI 的能力。","0","大綱僅述及 Python 程式設計基礎，未明確提及 AI 模型、AI 應用、以 AI 解決問題、實作任務或驗證修正流程，因此不能判定有運用 AI 解決問題的能力。","0","課程內容未出現 AI 協作情境，也未提及人類判斷、同理心、溝通、真實場域或創意整合於 AI 使用中，因此不能判定有 AI 無法取代的能力。","A=0;B=0;C=0;D=0","課程大綱未明確呈現任何 AI 教學、AI 應用或人機協作內容，僅有 Python 基礎程式設計。","課名含 AI，但大綱未證實課程實際涉及 AI，因此各項能力均不得推定。"
"人工智慧基礎程式設計","0","課程大綱僅寫「奠定學生Python程式設計基礎」，未提及 AI 工具、AI 學習、提示詞、AI 輔助學習或自主學習歷程，因此不能判定有運用 AI 學習的能力。","0","課程名稱雖含「人工智慧」，但大綱未出現 AI 倫理、法規、個資、偏誤、風險、責任或治理等內容，因此不能判定有負責任使用 AI 的能力。","0","大綱僅述及 Python 程式設計基礎，未明確提及 AI 模型、AI 應用、以 AI 解決問題、實作任務或驗證修正流程，因此不能判定有運用 AI 解決問題的能力。","0","課程內容未出現 AI 協作情境，也未提及人類判斷、同理心、溝通、真實場域或創意整合於 AI 使用中，因此不能判定有 AI 無法取代的能力。","A=0;B=0;C=0;D=0","課程大綱未明確呈現任何 AI 教學、AI 應用或人機協作內容，僅有 Python 基礎程式設計。","課名含 AI，但大綱未證實課程實際涉及 AI，因此各項能力均不得推定。"
"人工智慧基礎程式設計","2","課程明確提到「了解人工智慧的原理並能應用於日常生活」、「建立正確的人工智慧知識並妥善應用於日常生活中」，顯示學生會接觸 AI 基本概念與應用；但未明寫使用 AI 工具輔助學習、提示策略或自主學習規劃，因此僅屬初步相關。","1","雖提到「建立正確的人工智慧知識並妥善應用」，但未具體涉及 AI 倫理、著作權、個資、偏誤、風險管理、揭露或責任歸屬，因此只能算零星相關，不能高估。","2","大綱明確有「了解人工智慧的原理」與「應用於日常生活相關之實務」、「討論、實作」，表示學生會接觸 AI 應用與實作；但未說明要以 AI 完成具體問題解決、模型建立、驗證修正或品質評估。","1","課程強調日常生活中的 AI 應用與「討論、實作」，可見會有一定的人機或情境脈絡，但未明寫批判 AI、保有人類主體性、同理心、溝通協作或真實場域洞察，因此 D 只能給低分。","A=2;B=1;C=2;D=1","課程明確有 AI 原理、日常應用與實作，但缺少 AI 輔助學習、倫理法規、問題解決流程與人機協作的具體描述。","未提及 AI 工具如何用於學習、也未提及查證、風險、責任、人機分工或成果評量，因此無法給更高分。"
"人工智慧基礎程式設計","2","課程明確提到「了解人工智慧的原理並能應用於日常生活」、「建立正確的人工智慧知識並妥善應用於日常生活中」，顯示學生會接觸 AI 基本概念與應用；但未明寫使用 AI 工具輔助學習、提示策略或自主學習規劃，因此僅屬初步相關。","1","雖提到「建立正確的人工智慧知識並妥善應用」，但未具體涉及 AI 倫理、著作權、個資、偏誤、風險管理、揭露或責任歸屬，因此只能算零星相關，不能高估。","2","大綱明確有「了解人工智慧的原理」與「應用於日常生活相關之實務」、「討論、實作」，表示學生會接觸 AI 應用與實作；但未說明要以 AI 完成具體問題解決、模型建立、驗證修正或品質評估。","1","課程強調日常生活中的 AI 應用與「討論、實作」，可見會有一定的人機或情境脈絡，但未明寫批判 AI、保有人類主體性、同理心、溝通協作或真實場域洞察，因此 D 只能給低分。","A=2;B=1;C=2;D=1","課程明確有 AI 原理、日常應用與實作，但缺少 AI 輔助學習、倫理法規、問題解決流程與人機協作的具體描述。","未提及 AI 工具如何用於學習、也未提及查證、風險、責任、人機分工或成果評量，因此無法給更高分。"
"教育科技專題研究","4","課程明確寫出「能熟悉AI Tools應用於管理、教學與研究」，並安排「學生課前教材的預習」、「講述、實作與討論」、「學生課後作業」及研究報告，顯示學生會運用 AI 工具作為學習與研究輔助；同時也有自我探索與課後延伸，符合運用 AI 學習的多項面向。","1","大綱主要是 AI Tools 的應用與教育科技理論，未明確提及 AI 倫理、著作權、個資、隱私、偏誤、風險、揭露或責任歸屬，因此負責任使用 AI 的證據不足。","4","課程明確要求「AI Tools 應用於管理、教學與研究」的探究與實作，並以「完成一份相關主題的研究報告」作為成果，屬於將 AI 納入具體專題與研究任務；但未明寫驗證 AI 產出、比較方案、品質控管或人機分工，因此未達最高分。","3","課程有教育科技理論、AI 工具應用、討論實作與研究報告，且學生需進行自我探索，顯示 AI 協作下的學習與研究脈絡；但大綱未直接強調批判 AI、同理心、跨情境溝通或以人類判斷作最終決策，因此 D 為中等。","A=4;B=1;C=4;D=3","主要依據是課程明確教授 AI Tools 應用於管理、教學與研究，並搭配實作、討論與研究報告。","缺少 AI 倫理/法規/風險內容；也未明寫驗證、修正、人機分工、成果評量細節與 AI 協作下的人類主體性要求。"
"數位學習專題研究","1","大綱僅寫「瞭解行動學習與人工智慧的理論基礎與實施方式」，屬於認識 AI 理論與實施方式，未見學生實際使用 AI 作為學習工具、進行學習規劃、反思或自主學習活動，因此僅能給零星相關分數。","0","課程文字僅提到 AI 理論與實施方式，未出現倫理、法規、個資、偏誤、風險、查證、揭露或責任等要求，因此不能判定有負責任使用 AI 的能力。","1","雖有「人工智慧的理論基礎與實施方式」，表示與 AI 應用相關，但未說明學生需用 AI 解決問題、完成專題、分析資料或驗證成果，因此僅屬低度相關。","0","大綱未提及批判 AI、同理心、溝通協作、真實場域洞察或人類主體性等內容，因此不能判定有 AI 無法取代的能力。","A=1;B=0;C=1;D=0","課程只明確提到 AI 的理論基礎與實施方式，未見實作、學習工具運用或責任治理內容。","缺少 AI 工具使用於學習、倫理法規、問題解決任務、人機協作與評量等可觀察證據。"
"網路學習科技","2","課程大綱僅寫出「了解進階的人工智慧」，可視為有接觸 AI 相關概念，但未明確出現學生使用 AI 輔助學習、資訊整理、反思或自主學習的活動，因此僅能給初步相關分數。","0","大綱未提及 AI 倫理、法規、著作權、個資、偏誤、資安、風險、治理或責任等內容，因此不能推定。","1","課程僅有「了解進階的人工智慧」這類概念性描述，未明確說明要用 AI 分析、生成、解決問題或完成專題，因此只能列為零星相關。","0","大綱未出現 AI 協作中的判斷、同理心、溝通、真實情境或人類主體性等證據，因此不能推定。","A=2;B=0;C=1;D=0","主要依據是大綱僅明確提到 AI，且只屬於概念了解，缺乏具體實作與倫理/協作要求。","A 雖有 AI 字樣，但未寫明使用 AI 作為學習工具；B、D 完全欠缺相關文字；C 也未見明確問題解決任務或作品。"
"機器學習","1","課程明確教授人工智慧與機器學習核心概念、分類與分群演算法、資料前處理與模型驗證，屬於學習 AI 技術本身；但未見學生把 AI 作為學習工具來搜尋、整理、反思或自主學習，因此 A 只能給零星相關分數。","0","大綱未提及 AI 倫理、著作權、個資、偏誤、幻覺、查證、風險管理或責任歸屬，因此不能推定有負責任使用 AI 的培養。","4","課程明確包含模式識別、監督式與非監督式學習、分類與分群演算法、資料前處理、特徵工程、模型驗證、影像處理與實際資料分析問題，並要求理解與應用，屬於運用 AI 解決問題的重要組成；但未明寫完整專題流程、人機分工或持續監控，因此未達 5 分。","0","大綱主要聚焦演算法與模型評估，未出現 AI 協作中的主體性、同理心、溝通、文化情境或人類決策責任等內容，因此不能計入 D。","A=1;B=0;C=4;D=0","主要依據是課程以機器學習理論、資料前處理、模型驗證與實務應用為核心，明確支撐 C。","A 未見學生實際把 AI 當作學習工具；B、D 皆無 AI 倫理或人機協作的明確文字；C 也未明寫完整專題、驗證流程或人機分工。"
"智慧型系統專題研究","1","大綱主要描述人工智慧技術、機器學習與深度學習的緒論、實例、實務發展與應用，屬於學習 AI 技術內容；但未明確寫出學生會使用 AI 工具來輔助自己的學習、整理、反思或自主規劃，因此 A 只能給低分。","0","大綱未提及 AI 倫理、法規、著作權、個資、偏誤、風險、治理或責任，因此不能推定有負責任使用 AI 的教育。","4","課程明確談人工智慧在各大產業、服務、新商品與革新中的應用，並安排機器學習、深度學習的實例、實務發展與期中、期末報告，顯示學生需接觸 AI 應用與專題實作；但未明確寫出驗證、修正、人機分工或品質控制機制，因此未達 5 分。","0","大綱雖有專題報告與實務應用，但未明確呈現 AI 協作下的判斷、同理心、溝通、創意主體性或真實場域觀察，因此 D 不得加分。","A=1;B=0;C=4;D=0","主要依據是課程明確涵蓋 AI 應用、機器學習、深度學習實例與期末報告，對 C 的支撐最強。","A 缺少 AI 作為學習工具的明寫；B 完全未見倫理/法規/風險；D 未見人類主體性、協作或真實情境的具體說明。"
"人工智慧","1","課程僅寫「建立人工智慧的基本素養與未來視野」「培養學生對人工智慧(AI)的基本認識」，屬於 AI 概念入門，未明確顯示學生會用 AI 工具輔助學習或進行自主學習，因此 A 只能給初步相關分數。","0","大綱未提及 AI 倫理、法規、著作權、個資、偏誤、資安、風險或責任等面向，因此不能推定 B。","1","課程內容僅為 AI 基本認識與素養，未明確寫出使用 AI 分析、生成、建模、解題或專題任務，因此只能給零星相關。","0","大綱未出現 AI 協作中的判斷、同理心、溝通、真實世界洞察或人類主體性等證據，因此不能計入 D。","A=1;B=0;C=1;D=0","主要依據是課程僅有 AI 基本素養與認識，屬概念性導論，缺乏實作與應用。","A 未明確寫 AI 輔助學習；B、D 皆無相關文字；C 也未見問題解決或專題實作。"
"人工智慧導論","0","課程大綱僅寫「Understand the basic principles of digital image processingClasses」，內容是數位影像處理基礎原理，未出現 AI、人工智慧、機器學習或人機協作等元素，因此依 0 分原則，A 不得給分。","0","大綱未提及 AI 倫理、法規、個資、偏誤、風險或責任，且內容本身也未出現 AI 元素，因此不能推定。","0","雖然課名含「人工智慧導論」，但大綱明確內容是 digital image processing basic principles，未出現 AI 實作、模型、應用或問題解決任務，因此整體不足以支持 C。","0","大綱未出現 AI 或人機協作脈絡下的人類判斷、同理心、溝通或創意活動，因此 D 不得加分。","A=0;B=0;C=0;D=0","主要依據是課綱明寫內容只有數位影像處理基礎，與 AI 無明確連結。","課名含 AI，但課綱未提供任何 AI 相關教學證據，不能僅憑課名高估。"
"數位化科學教材教法","1","大綱第 6 點僅寫「瞭解AI在自然科教學的應用與實踐」，顯示有 AI 相關概念，但未明確要求學生使用 AI 作為學習工具、進行反思或自主學習，因此 A 只能給零星相關分數。","0","大綱未提及 AI 倫理、著作權、個資、偏誤、資安、風險管理或責任，因此不能推定 B。","2","課程內容主要是數位化儀器、虛擬科學實驗、行動裝置設計課程與數位化評量，另有一點提到 AI 在自然科教學的應用與實踐；但未明確說明學生要用 AI 完成問題解決、分析或專題，因此僅能給初步相關分數。","0","大綱雖涉及教學設計與實作，但未出現 AI 協作情境中的判斷、同理心、溝通、真實場域洞察或人類主體性，因此 D 不得加分。","A=1;B=0;C=2;D=0","主要依據是大綱僅有一點 AI 教學應用描述，且重點仍在數位化教材與教學設計。","A 未見 AI 輔助學習；B 無倫理/法規/風險；C 未明確使用 AI 解題或完成任務；D 未見 AI 協作中的人類判斷與情境脈絡。"
"高等科學教育專題討論(二)","2","課綱明確寫出“Understanding AI in Education”並提到對人工智慧及其在國小教育中的應用建立完整理解，僅屬於理解與討論 AI 的層次，未見學生實際使用 AI 輔助學習、搜尋、整理或自主學習活動，因此僅給初步分數。","1","課綱僅提到 AI 及其在教育中的應用，未見著作權、個資、偏誤、風險、揭露、責任或 AI 倫理等明確內容，因此只能視為零星提及。","1","內容聚焦於“理解 AI”與其教育應用，未明確要求學生運用 AI 解決問題、完成任務、驗證結果或進行人機協作流程，因此僅能給低分。","1","課綱雖提及 AI in Education，但未明確呈現學生批判 AI、提出自身判斷、同理心、協作或真實場域洞察等 AI 協作脈絡中的人類不可取代能力。","A=2;B=1;C=1;D=1","課名與課綱都明確出現 AI，且內容集中在教育場域中的 AI 理解。","大綱未提及具體教學活動、學生實作、評量方式，亦未說明 AI 使用於學習、倫理風險或問題解決流程。"
"媒體識讀教育專題研究","2","課綱提到分析數位媒體環境中的假新聞、深偽影像與AI內容等新興議題，且有媒體識讀相關專題研究；但沒有明確寫出學生實際使用 AI 作為學習工具、提示詞操作、資訊整理或自主學習設計，因此僅屬初步相關。","2","課綱明確提到假新聞、深偽影像與AI內容等新興議題，與查證、風險意識有關，但未直接寫出 AI 倫理、著作權、個資、揭露、治理或責任歸屬等系統性內容，因此只能給初步分數。","2","課綱有“運用適切之研究方法設計並執行媒體識讀相關專題研究”，且處理 AI 內容、假新聞與深偽等議題，可視為將 AI 納入問題分析情境；但未明確要求用 AI 工具解題、驗證生成結果或人機分工。","2","課綱強調媒體批判思考、數位公民素養與對 AI 內容的分析，顯示要求學生對 AI 相關資訊保持批判與查證；但未明確在 AI 協作脈絡中要求同理心、溝通、主體性或真實場域觀察。","A=2;B=2;C=2;D=2","課綱明確出現AI內容、假新聞與深偽影像，且包含專題研究與批判分析。","未見 AI 工具實作、提示詞運用、結果驗證、人機協作流程，亦未明寫 AI 倫理、法規與責任規範。"
"演算法","1","課綱主要是演算法理論、搜尋、排序、遞迴、動態規劃與程式優化，僅在情意目標寫到“增進學生探究演算法應用於AI教育場域的興趣”，屬於零星提及 AI，沒有明確要求學生使用 AI 作為學習工具。","0","課綱未提及 AI 倫理、著作權、個資、偏誤、風險、查證、治理或責任等內容，僅是演算法課程與 AI 場域的興趣連結，不能計入B。","2","課綱包含“具備問題分析與解決的能力”“運用工具完成專案設計與實作”，並提到探究演算法應用於AI教育場域，顯示與解決問題有一定關聯；但未明確寫出以 AI 進行分析、預測、生成或驗證，也未完整呈現人機協作。","1","課綱雖提及 AI 教育場域，但未明確要求學生在 AI 協作情境中進行批判、決策、同理或真實場域洞察，因此不足以支持D。","A=1;B=0;C=2;D=1","主要是演算法與程式設計內容，僅在情意目標中提到AI教育場域。","缺乏 AI 工具使用、AI 模型或 AI 問題解決任務的明確證據，也沒有 AI 倫理與人機協作的具體描述。"
"資訊安全與倫理","1","課綱主體為資訊安全、密碼學、隱私保護、雲端與網路安全，僅在情意目標提到“探究資訊安全與倫理應用於AI教育場域的興趣”，屬於背景連結，未見學生以 AI 作為學習工具。","2","課綱雖主要是一般資訊安全與倫理，但明確包含“資料隱私與保護”“網絡道德與法律”“安全性測試與評估”，且連結到AI教育場域；這些可支持與 AI 風險、隱私與責任的初步相關，但未明寫 AI 倫理、偏誤、揭露或治理。","1","課綱中的問題分析、專案實作與安全性測試屬一般資安訓練，並未明確要求以 AI 分析或解決問題；AI 僅在興趣描述中出現，因此對C只能給低分。","1","雖課名含倫理且提到 AI 教育場域，但未明確呈現學生在 AI 協作中進行判斷、同理、溝通或決策責任，因此D證據不足。","A=1;B=2;C=1;D=1","課名有倫理，課綱有隱私、法律、安全性測試與 AI 教育場域的提及。","未具體說明 AI 倫理、AI 風險治理、AI 偏誤或 AI 使用揭露，也未有 AI 工具實作。"
"網路學習社群","3","課綱明確列出“AI 輔助社群經營”“AI 社群資料分析”“AI 倫理與趨勢”，表示學生不只理解社群，也會接觸 AI 作為社群經營與資料分析的工具；但未細寫提示詞、學習反思或自主學習規劃，因此屬中等程度。","2","課綱直接提到“AI 倫理與趨勢”，可視為有觸及 AI 相關倫理面向；但未展開著作權、個資、偏誤、風險、揭露或責任歸屬等具體內容，所以不能給高分。","4","課綱包含設計並實際經營網路學習社群、運用資料進行社群學習分析與反思，並明列 AI 輔助社群經營與 AI 社群資料分析，顯示學生會把 AI 納入實際問題解決流程；但未完整說明驗證、修正與流程品質控制。","3","課綱強調線上協作、引導討論與反思，且放入 AI 輔助社群經營情境中，顯示仍需人類在溝通、社群經營與判斷上發揮作用；但未明確要求比較 AI 與人類決策或承擔最終責任。","A=3;B=2;C=4;D=3","AI輔助社群經營、AI社群資料分析與AI倫理與趨勢是課綱明列內容。","未見具體 AI 工具名稱、使用流程、結果驗證機制或人機分工細節。"
"學校經營獨立研究","1","課綱明確出現“人本AI時代學校經營與實施策略”，但整體內容仍以學校經營、領導、案例評析、研究計畫與論文撰寫為主，沒有看到學生運用 AI 作為學習工具或自主學習支持，因此僅屬零星提及。","1","僅在“人本AI時代學校經營與實施策略”中出現 AI，未見 AI 倫理、法規、資安、偏誤、揭露、風險管理或責任歸屬等明確探討，因此不能高估。","1","雖有“人本AI時代學校經營”字樣，但大綱未描述學生使用 AI 進行分析、建模、方案生成、驗證或人機協作解題；研究、案例與評論仍屬一般校務研究，不能直接視為 C。","1","“人本AI時代”可能涉及人類主體性，但課綱沒有明確要求學生在 AI 協作情境中做判斷、溝通、同理或承擔決策責任，因此D證據不足。","A=1;B=1;C=1;D=1","僅有“人本AI時代學校經營與實施策略”一處明確出現AI。","大綱未說明任何 AI 工具、AI 分析、AI 倫理治理或人機協作任務，無法支持更高分。"
"深度學習應用與研究","4","課程明確寫有「學習生成式AI的理論與應用」、「培養利用生成式AI跨領域問題解決與實作能力」，且每週安排生成式AI介紹、應用工具使用與專案實作，顯示學生會實際運用AI作為學習與研究工具；但大綱未具體寫明學習規劃、提示修正或自主學習歷程管理。","3","課程第14週明列「人工智慧道德與社會影響」，亦在課程目標中提到「建立對 AI 倫理與社會影響的深入理解」，確有AI倫理與社會面向；但未明確提及著作權、個資、隱私、偏誤、風險治理、使用揭露或責任歸屬等更完整內容。","5","課程明確包含機器學習、深度學習、CNN、RNN、電腦視覺、自然語言處理、聊天機器人、生成式AI、RAG與應用工具使用，並安排多次「活動及專案實作」與論文報告討論，屬於以AI分析、生成與解決問題的核心課程；但對驗證流程、人機分工與品質控管的細節雖非逐條明示，仍已有明確專題與實作證據。","3","課程有「分組討論」、「上台報告」、「專案實作」與「論文報告與討論」，且強調生成式AI跨領域問題解決與實作，顯示需有人類判斷、表達與協作；但大綱未明確寫出批判AI結果、決策責任、同理溝通或在AI協作中保有人類主體性的具體要求。","A=4;B=3;C=5;D=3","主要依據是課程明確以生成式AI、深度學習與多項AI專題實作為主軸，並且包含AI倫理與社會影響。","B未明列法規、個資、著作權、偏誤、風險管理或揭露；D未清楚寫出驗證、反思、責任歸屬與人類主體性要求。"
"新媒體行銷專題研究","1","課程僅寫明「探討AI浪潮下的新媒體發展與行銷策略」，屬於把AI當作時代背景或趨勢來討論，未見學生使用AI工具輔助學習、整理資訊或自主學習的具體活動。","0","大綱未提及AI倫理、法規、著作權、個資、偏誤、風險、查證或治理等內容，因此不能推定具備負責任使用AI能力。","1","雖提到AI浪潮下的新媒體發展與行銷策略，但未見要求學生運用AI分析資料、產生方案、完成專題或進行驗證修正，因此僅能視為零星相關。","0","大綱未出現AI情境中的人機協作、批判AI結果、同理互動、創意整合或真實場域問題等具體要求，因此不能給分。","A=1;B=0;C=1;D=0","主要依據僅有「AI浪潮下的新媒體發展與行銷策略」這一類背景性描述。","缺乏AI工具使用、實作任務、倫理法規、風險治理與人機協作的明確文字。"
"資訊科技新知","1","課程內容包含「人工智慧與機器人」與「對抗生成網路(GAN)簡介」，顯示接觸AI相關概念，但大綱主要是介紹科技趨勢與新知，未見學生使用AI作為學習工具、資訊整理工具或自主學習流程。","1","課程雖有「資訊素養與倫理」，但未明確與AI連結；不能因一般倫理或資訊素養就直接推定為AI倫理、法規、個資、偏誤或治理教育。","1","課程涉及「人工智慧與機器人」及「GAN簡介」，但未寫明學生需用AI分析、建模、解題、實作專題或驗證成果，因此僅屬概念性接觸。","0","大綱未呈現AI協作中的批判檢核、決策責任、同理溝通、創意整合或真實情境洞察，因此不能給分。","A=1;B=1;C=1;D=0","主要依據是課綱中少量出現人工智慧、機器人與GAN等AI相關主題，但整體仍屬科技新知導論。","缺乏明確AI工具應用、AI倫理/法規與AI情境下的人機協作要求。"
