"課程名稱","A分數","A判定理由","B分數","B判定理由","C分數","C判定理由","D分數","D判定理由","整體判定","主要依據","證據不足處"
"人工智慧基礎程式設計","1","課程寫明介紹人工智慧原理與日常生活應用，並要求「建立正確的人工智慧知識並妥善應用於日常生活中」，可視為接觸AI知識；但大綱未明確寫出學生用AI工具輔助學習、搜尋、整理或自主學習活動。","0","大綱僅提到「正確的人工智慧知識」與「妥善應用」，未涉及AI倫理、法規、著作權、個資、偏誤、風險或責任，因此不能推定符合負責任使用AI能力。","2","課程明確談到AI原理與日常生活實務，且有「討論、實作」，表示學生會接觸AI應用；但未說明具體使用AI來分析問題、完成任務、驗證結果或進行專題，因此僅達初步相關。","1","雖有討論與實作，但未出現AI情境中的人類判斷、同理、創意整合或真實世界洞察的具體要求，因此僅能給極低分。","A=1;B=0;C=2;D=1","主要依據是課程明確介紹AI原理與日常應用，並安排討論與實作。","缺乏明確的AI學習工具使用、倫理法規、問題解決流程與人機協作或人類主體性描述。"
"人工智慧基礎程式設計","1","課程寫明介紹人工智慧原理與日常生活應用，並要求「建立正確的人工智慧知識並妥善應用於日常生活中」，可視為接觸AI知識；但大綱未明確寫出學生用AI工具輔助學習、搜尋、整理或自主學習活動。","0","大綱僅提到「正確的人工智慧知識」與「妥善應用」，未涉及AI倫理、法規、著作權、個資、偏誤、風險或責任，因此不能推定符合負責任使用AI能力。","2","課程明確談到AI原理與日常生活實務，且有「討論、實作」，表示學生會接觸AI應用；但未說明具體使用AI來分析問題、完成任務、驗證結果或進行專題，因此僅達初步相關。","1","雖有討論與實作，但未出現AI情境中的人類判斷、同理、創意整合或真實世界洞察的具體要求，因此僅能給極低分。","A=1;B=0;C=2;D=1","主要依據是課程明確介紹AI原理與日常應用，並安排討論與實作。","缺乏明確的AI學習工具使用、倫理法規、問題解決流程與人機協作或人類主體性描述。"
"人工智慧基礎程式設計","1","課程寫明介紹人工智慧原理與日常生活應用，並要求「建立正確的人工智慧知識並妥善應用於日常生活中」，可視為接觸AI知識；但大綱未明確寫出學生用AI工具輔助學習、搜尋、整理或自主學習活動。","0","大綱僅提到「正確的人工智慧知識」與「妥善應用」，未涉及AI倫理、法規、著作權、個資、偏誤、風險或責任，因此不能推定符合負責任使用AI能力。","2","課程明確談到AI原理與日常生活實務，且有「討論、實作」，表示學生會接觸AI應用；但未說明具體使用AI來分析問題、完成任務、驗證結果或進行專題，因此僅達初步相關。","1","雖有討論與實作，但未出現AI情境中的人類判斷、同理、創意整合或真實世界洞察的具體要求，因此僅能給極低分。","A=1;B=0;C=2;D=1","主要依據是課程明確介紹AI原理與日常應用，並安排討論與實作。","缺乏明確的AI學習工具使用、倫理法規、問題解決流程與人機協作或人類主體性描述。"
"人工智慧基礎程式設計","2","課程名稱與大綱明確出現人工智慧，且目標寫有「了解人工智慧的原理並能應用於日常生活」與「建立正確的人工智慧知識並妥善應用」，可判定學生會接觸 AI 基本知識與使用情境；但大綱未明寫學生會將 AI 作為學習工具來搜尋、整理、反思或規劃自主學習，因此僅給初步相關分數。","1","大綱提到「建立正確的人工智慧知識並妥善應用於日常生活」，可略見正確使用觀念，但未明確涉及 AI 倫理、著作權、個資、偏誤、風險、揭露或責任歸屬，因此只能給零星提及。","2","本課程明確教「人工智慧原理」並談「日常生活相關之實務」，屬於 AI 基礎知識與應用入門，與運用 AI 解題有關；但大綱未寫出學生需實際用 AI 完成分析、預測、建模、專題或驗證修正流程，因此不宜提高。","1","大綱僅描述 AI 原理與日常應用，未出現人類判斷、同理心、溝通合作、批判 AI 結果或真實情境洞察等與 AI 協作下的人類主體性內容，因此僅能視為一般 AI 入門課程，D 證據不足。","A=2;B=1;C=2;D=1","主要依據為課名與大綱都明確有 AI 原理與日常應用，但內容僅停留在介紹與實作層次，未完整呈現學習工具、倫理治理、問題解決流程或人機協作的明確要求。","A 缺少 AI 輔助學習、提示詞運用、學習歷程規劃等證據；B 缺少倫理、法規、個資、偏誤與責任內容；C 缺少明確任務、驗證與品質控制；D 缺少批判、同理、溝通與真實場域脈絡。"
"人工智慧基礎程式設計","2","課程名稱與大綱明確出現人工智慧，且目標寫有「了解人工智慧的原理並能應用於日常生活」與「建立正確的人工智慧知識並妥善應用」，可判定學生會接觸 AI 基本知識與使用情境；但大綱未明寫學生會將 AI 作為學習工具來搜尋、整理、反思或規劃自主學習，因此僅給初步相關分數。","1","大綱提到「建立正確的人工智慧知識並妥善應用於日常生活」，可略見正確使用觀念，但未明確涉及 AI 倫理、著作權、個資、偏誤、風險、揭露或責任歸屬，因此只能給零星提及。","2","本課程明確教「人工智慧原理」並談「日常生活相關之實務」，屬於 AI 基礎知識與應用入門，與運用 AI 解題有關；但大綱未寫出學生需實際用 AI 完成分析、預測、建模、專題或驗證修正流程，因此不宜提高。","1","大綱僅描述 AI 原理與日常應用，未出現人類判斷、同理心、溝通合作、批判 AI 結果或真實情境洞察等與 AI 協作下的人類主體性內容，因此僅能視為一般 AI 入門課程，D 證據不足。","A=2;B=1;C=2;D=1","主要依據為課名與大綱都明確有 AI 原理與日常應用，但內容僅停留在介紹與實作層次，未完整呈現學習工具、倫理治理、問題解決流程或人機協作的明確要求。","A 缺少 AI 輔助學習、提示詞運用、學習歷程規劃等證據；B 缺少倫理、法規、個資、偏誤與責任內容；C 缺少明確任務、驗證與品質控制；D 缺少批判、同理、溝通與真實場域脈絡。"
"人工智慧基礎程式設計","2","課程名稱與大綱明確出現人工智慧，且目標寫有「了解人工智慧的原理並能應用於日常生活」與「建立正確的人工智慧知識並妥善應用」，可判定學生會接觸 AI 基本知識與使用情境；但大綱未明寫學生會將 AI 作為學習工具來搜尋、整理、反思或規劃自主學習，因此僅給初步相關分數。","1","大綱提到「建立正確的人工智慧知識並妥善應用於日常生活」，可略見正確使用觀念，但未明確涉及 AI 倫理、著作權、個資、偏誤、風險、揭露或責任歸屬，因此只能給零星提及。","2","本課程明確教「人工智慧原理」並談「日常生活相關之實務」，屬於 AI 基礎知識與應用入門，與運用 AI 解題有關；但大綱未寫出學生需實際用 AI 完成分析、預測、建模、專題或驗證修正流程，因此不宜提高。","1","大綱僅描述 AI 原理與日常應用，未出現人類判斷、同理心、溝通合作、批判 AI 結果或真實情境洞察等與 AI 協作下的人類主體性內容，因此僅能視為一般 AI 入門課程，D 證據不足。","A=2;B=1;C=2;D=1","主要依據為課名與大綱都明確有 AI 原理與日常應用，但內容僅停留在介紹與實作層次，未完整呈現學習工具、倫理治理、問題解決流程或人機協作的明確要求。","A 缺少 AI 輔助學習、提示詞運用、學習歷程規劃等證據；B 缺少倫理、法規、個資、偏誤與責任內容；C 缺少明確任務、驗證與品質控制；D 缺少批判、同理、溝通與真實場域脈絡。"
"人工智慧基礎程式設計","2","課程名稱與大綱明確出現人工智慧，且目標寫有「了解人工智慧的原理並能應用於日常生活」與「建立正確的人工智慧知識並妥善應用」，可判定學生會接觸 AI 基本知識與使用情境；但大綱未明寫學生會將 AI 作為學習工具來搜尋、整理、反思或規劃自主學習，因此僅給初步相關分數。","1","大綱提到「建立正確的人工智慧知識並妥善應用於日常生活」，可略見正確使用觀念，但未明確涉及 AI 倫理、著作權、個資、偏誤、風險、揭露或責任歸屬，因此只能給零星提及。","2","本課程明確教「人工智慧原理」並談「日常生活相關之實務」，屬於 AI 基礎知識與應用入門，與運用 AI 解題有關；但大綱未寫出學生需實際用 AI 完成分析、預測、建模、專題或驗證修正流程，因此不宜提高。","1","大綱僅描述 AI 原理與日常應用，未出現人類判斷、同理心、溝通合作、批判 AI 結果或真實情境洞察等與 AI 協作下的人類主體性內容，因此僅能視為一般 AI 入門課程，D 證據不足。","A=2;B=1;C=2;D=1","主要依據為課名與大綱都明確有 AI 原理與日常應用，但內容僅停留在介紹與實作層次，未完整呈現學習工具、倫理治理、問題解決流程或人機協作的明確要求。","A 缺少 AI 輔助學習、提示詞運用、學習歷程規劃等證據；B 缺少倫理、法規、個資、偏誤與責任內容；C 缺少明確任務、驗證與品質控制；D 缺少批判、同理、溝通與真實場域脈絡。"
"人工智慧基礎程式設計","2","課程名稱與大綱明確出現人工智慧，且目標寫有「了解人工智慧的原理並能應用於日常生活」與「建立正確的人工智慧知識並妥善應用」，可判定學生會接觸 AI 基本知識與使用情境；但大綱未明寫學生會將 AI 作為學習工具來搜尋、整理、反思或規劃自主學習，因此僅給初步相關分數。","1","大綱提到「建立正確的人工智慧知識並妥善應用於日常生活」，可略見正確使用觀念，但未明確涉及 AI 倫理、著作權、個資、偏誤、風險、揭露或責任歸屬，因此只能給零星提及。","2","本課程明確教「人工智慧原理」並談「日常生活相關之實務」，屬於 AI 基礎知識與應用入門，與運用 AI 解題有關；但大綱未寫出學生需實際用 AI 完成分析、預測、建模、專題或驗證修正流程，因此不宜提高。","1","大綱僅描述 AI 原理與日常應用，未出現人類判斷、同理心、溝通合作、批判 AI 結果或真實情境洞察等與 AI 協作下的人類主體性內容，因此僅能視為一般 AI 入門課程，D 證據不足。","A=2;B=1;C=2;D=1","主要依據為課名與大綱都明確有 AI 原理與日常應用，但內容僅停留在介紹與實作層次，未完整呈現學習工具、倫理治理、問題解決流程或人機協作的明確要求。","A 缺少 AI 輔助學習、提示詞運用、學習歷程規劃等證據；B 缺少倫理、法規、個資、偏誤與責任內容；C 缺少明確任務、驗證與品質控制；D 缺少批判、同理、溝通與真實場域脈絡。"
"學障兒童的評量與教學","1","大綱明確寫出「學生能使用人工智慧軟體設計教材」，顯示有接觸 AI 工具的行為；但其重點是設計教材，未明確指出學生會用 AI 作為學習、搜尋、整理、反思或自主學習工具，因此 A 只能算零星提及。","1","雖有「使用人工智慧軟體設計教材」，但大綱未提及 AI 倫理、著作權、個資、偏誤、資安、風險、揭露或責任歸屬；因此 B 缺乏直接證據。","3","課程明寫學生「能就學障孩童提供證據本位的介入策略」且「使用人工智慧軟體設計教材」，表示 AI 被納入教育評量與教學實務，屬於具體應用；但大綱未說明如何驗證 AI 產出、比較方案或規劃人機分工，故未達更高分。","2","本課程面向學障兒童的評量與教學，若結合 AI 設計教材，確實存在教學情境中的人類專業判斷與實務考量；但大綱未明確要求同理、溝通、團隊協作或批判 AI 結果，也未清楚呈現 AI 協作下的人類主體性，因此僅初步相關。","A=1;B=1;C=3;D=2","主要依據為大綱明確出現「使用人工智慧軟體設計教材」與「證據本位的介入策略」，可證明 AI 被用於實務任務，但未完整呈現倫理、驗證、人機分工與人類判斷要求。","A 缺少 AI 作為學習工具的直接證據；B 完全未提 AI 倫理與風險；C 缺少查證、修正、品質控制與系統性流程；D 缺少明確的人際互動、同理與批判 AI 的要求。"
"當代思潮與教育","0","課程大綱僅提到「AI-Ed」作為當前議題之一，屬於概念性背景提及，未說明學生會使用任何 AI 工具進行學習、整理資訊或自主學習，因此不能支持能力A。","0","大綱未提及 AI 倫理、法規、個資、偏誤、風險或責任等內容；僅有「AI-Ed」字樣，不能推定有負責任使用 AI 的教學。","0","大綱僅將 AI-Ed 列為新議題與理論之一，未描述學生會運用 AI 分析、解決問題、專題實作或人機協作流程，因此不能支持能力C。","0","課程內容聚焦當代教育思潮與理論，雖含「AI-Ed」字樣，但未在 AI 情境中要求批判、判斷、同理、協作或真實場域洞察，因此不能支持能力D。","A=0;B=0;C=0;D=0","整門課僅有 AI-Ed 的概念性提及，屬背景議題，不足以證明 AI 能力培養。","大綱未具體說明 AI 工具、AI 任務、AI 倫理或 AI 協作活動，因此四項能力皆不能推定。"
"人工智慧導論","3","課程明確要求學生「建立人工智慧的基本素養與未來視野」、「理解AI技術的核心概念與相互關係」，並提到「靈活運用生成式AI工具與技術」，可見學生會接觸並運用 AI 工具；但未明確寫出用 AI 做學習規劃、資訊整理、反思或自主學習流程，因此未達更高分。","0","大綱未提及 AI 倫理、著作權、個資、偏誤、風險、揭露或責任歸屬等內容，僅有技術與應用學習，不能支持能力B。","4","大綱明確包含「靈活運用生成式AI工具與技術」及「透過AI活動及實作專案提升綜合能力」，顯示學生須以 AI 參與實作專案，屬明確的運用 AI 解決問題證據；但未說明驗證、修正、人機分工或品質控制流程，因此未達5分。","2","課程有「基本素養與未來視野」及「實作專案」，可推知學生需在 AI 學習情境中進行一定程度的判斷；但大綱未明寫批判 AI、同理心、溝通協作、真實場域觀察或人類最終決策責任，因此只能給低度相關分數。","A=3;B=0;C=4;D=2","主要依據為課程明確涵蓋 AI 基礎概念、生成式 AI 工具運用與 AI 活動實作專案。","缺少 AI 倫理法規、風險治理、查證機制、人機分工與人類主體性等明確描述。"
"機器學習","0","課程名稱與大綱僅述及「機器學習的基本理論與應用技術」，是學習 AI 技術本身，未明確提到學生會用 AI 作為學習工具、資訊整理工具或自主學習工具，因此不能支持能力A。","0","大綱未提及 AI 倫理、法規、個資、偏誤、風險或責任等內容，因此不能支持能力B。","2","課程明確為機器學習的理論與應用技術學習，屬 AI 技術內容；但大綱未說明學生會實作專題、使用 AI 解決具體問題、或進行驗證與修正，因此僅能給初步相關分數。","0","大綱未出現人類判斷、同理心、協作、真實場域或 AI 協作下的主體性等內容，因此不能支持能力D。","A=0;B=0;C=2;D=0","課程屬機器學習基礎理論與應用技術，與 AI 技術學習相關，但缺少 AI 工具使用、倫理治理與問題解決流程。","未提及學生實作、專題任務、驗證修正、人機分工或 AI 情境中的判斷與責任。"
"深度學習","0","大綱重點是深度學習原理、Tensorflow、Keras、MLP、CNN、RNN、LSTM、GAN、LLM 等理論與實作，屬於學習 AI 技術本身，未提及學生用 AI 工具輔助學習、整理資訊或自主學習，因此不能支持能力A。","0","大綱未提及 AI 倫理、著作權、個資、偏誤、風險、查證、揭露或責任，因此不能支持能力B。","3","課程包含多種深度學習模型與「理論與實作」，顯示學生會實際操作 AI/機器學習模型，屬於運用 AI 技術進行任務的基礎證據；但大綱未說明具體問題情境、專題、驗證修正或人機協作流程，因此不宜給更高分。","0","大綱未出現人類判斷、同理心、溝通協作、真實世界洞察或創意整合等 AI 協作脈絡內容，因此不能支持能力D。","A=0;B=0;C=3;D=0","主要依據為深度學習各模型之理論與實作，顯示學生會操作 AI 技術。","缺少 AI 作為學習工具的描述，也缺少倫理治理、問題導向專題、驗證修正與人類主體性要求。"
"人工智慧","0","課程大綱僅說明「系統性地學習人工智慧的基本理論與應用技術」，屬於學習 AI 技術本身，未提及學生使用 AI 輔助學習、資訊整理或自主學習，因此不能支持能力A。","0","大綱未提及 AI 倫理、法規、個資、偏誤、風險或責任等內容，因此不能支持能力B。","2","雖然課程名稱與大綱皆明確指向人工智慧，但內容僅是「基本理論與應用技術」的系統性學習，未說明學生必須以 AI 解決具體問題或完成專題，因此僅可給初步相關分數。","0","大綱未提及判斷、協作、同理、真實場域或 AI 協作中的人類主體性，因此不能支持能力D。","A=0;B=0;C=2;D=0","課程屬人工智慧基礎理論與應用技術導論。","未說明實作任務、專題、驗證修正、人機分工或 AI 責任與治理內容。"
"人工智慧教育應用概論","0","大綱僅說明要理解「人工智慧與資料科學在教育中的應用價值」，屬於概念性認識，未提及學生會使用 AI 作為學習工具或自主學習工具，因此不能支持能力A。","0","大綱未提及 AI 倫理、個資、偏誤、法規、責任或風險管理等內容，因此不能支持能力B。","1","課程只提到理解 AI 與資料科學在教育中的應用價值，屬教育場域中的 AI 概念介紹；但未說明學生要實際運用 AI 解決教育問題、進行實作或驗證成果，因此僅能給低度相關分數。","0","大綱未出現人類判斷、同理心、溝通協作、真實教育場域觀察或 AI 協作下的主體性，因此不能支持能力D。","A=0;B=0;C=1;D=0","主要依據為課程僅提及 AI 與資料科學在教育中的應用價值，屬概念認識。","缺少實作、問題解決、AI 工具使用、倫理風險與人機協作等明確內容。"
"教學原理","1","大綱第9週提到「教學媒體與科技整合（數位教學工具、AI教學應用、互動式白板）」，僅屬於零星出現AI教學應用；其餘內容主要是教學理論、課程設計與評量，未明確要求學生以AI作為學習工具或進行AI輔助自主學習。","0","大綱未提及AI倫理、著作權、個資、隱私、偏誤、風險管理、使用揭露或責任歸屬等內容，因此不能推定具備負責任使用AI的能力。","1","課程雖有「AI教學應用」，但未見學生需運用AI解決具體問題、產出專題或進行驗證修正；整體仍以教學原理與設計為主，AI僅是單元中的輔助內容。","0","大綱雖包含小組討論、教學觀察與反思，但這些活動未置於AI協作情境中，也未要求比較、檢核AI結果或強調AI無法取代的人類判斷、同理或創意。","A=1;B=0;C=1;D=0","主要依據為第9週明列「AI教學應用」，但僅屬單元性提及，且整體課程核心仍是教學理論、設計、評量與實務反思。","AI相關內容不足以支持B、C、D的系統性培養；大綱未明確描述學生使用AI完成任務、查證修正或在AI情境下進行人機協作。"
"學校經營與發展專題研究","1","課程內容主要是學校經營理論、案例評析、行動研究與論文寫作；僅在第5週出現「人本AI時代學校的經營與管理策略」，屬於AI時代背景討論，未明確寫出學生使用AI作為學習工具或自主學習支持。","0","大綱未提及AI倫理、AI法規、著作權、個資、隱私、偏誤、風險或使用揭露等，不能據此判定具備負責任使用AI能力。","1","雖有「人本AI時代學校的經營與管理策略」字樣，但未見學生實際運用AI分析學校問題、提出方案或進行工具操作；課程主要仍是學校經營與研究專題。","1","「人本AI時代」僅屬背景或情境描述，未明確要求學生在AI協作下展現判斷、同理、溝通或創意，也未說明人類決策責任。","A=1;B=0;C=1;D=1","主要依據是課綱中唯一明確AI相關文字為「人本AI時代學校的經營與管理策略」，但未形成具體AI教學或實作任務。","AI內容過少，且沒有明確的AI工具使用、風險治理、問題解決流程或人機協作評量，因此B、C、D皆缺乏足夠證據。"
"多變量統計分析","1","大綱第5點明列「熟悉AI Tools、SPSS及AMOS在多變量分析的操作、結果的解釋與在論文中的呈現」，顯示學生會接觸AI工具；但課程重點是統計分析與軟體操作，未明確呈現AI作為學習輔助工具的設計。","0","課程內容聚焦統計方法與軟體，未提及AI倫理、資料隱私、偏誤、查證、使用揭露或責任等負責任使用AI的核心議題，因此不能給分。","3","大綱明確要求使用「AI Tools、SPSS及AMOS」進行多變量分析操作、結果解釋與論文呈現，屬於將AI納入專業問題解決流程的直接證據；但未見驗證AI結果、修正偏誤、人機分工或流程優化的完整說明。","0","課程主要是統計分析訓練，未在AI協作脈絡中強調人類判斷、同理、溝通或真實世界洞察，也未呈現AI無法取代的人類主體性。","A=1;B=0;C=3;D=0","主要依據為課綱明列「AI Tools」應用於多變量分析操作、結果解釋與論文呈現，顯示C有直接證據。","A僅見工具使用，未說明如何以AI輔助學習；B與D完全缺乏AI倫理、風險與人機協作面向。"
"科技教育概論","2","大綱提到「設計思考與運算思維教育的教學內容與教材教具」、「資訊融入學科教學及跨領域科際整合」，且評量含「AI素養筆試或讀書心得」，顯示課程有AI素養相關學習；但未明確寫出學生以AI工具進行自主學習、資訊整理或學習規劃。","1","評量中出現「AI素養」字樣，但大綱未具體說明倫理、著作權、個資、隱私、偏誤、風險、查證或責任等內容，因此僅能視為零星提及，不能高估。","1","課程包含「AI素養筆試或讀書心得」，但主要仍是科技領域、資訊教育與教案分析評論；未明確要求學生以AI解決實際教學或科技問題。","0","雖有AI素養字樣，但未呈現AI協作下的人類判斷、同理、溝通、創意或真實場域洞察，也未說明AI無法取代的人類角色。","A=2;B=1;C=1;D=0","主要依據為課程評量明列「AI素養筆試或讀書心得」，且內容涉及資訊教育與科技領域教學。","大綱未具體描述AI工具使用情境、倫理法規討論或用AI完成任務，因此A、B、C、D皆無法高分。"
"科技領導專題研究","3","大綱明列「學習分析的意涵與相關技術和議題」、「AI素養」、「AI工具運用於管理」以及課程目標中的「熟悉AI工具在領導的應用」，並搭配課前閱讀、課中講授討論操作與專題報告，顯示學生會接觸並使用AI相關工具作為管理與學習的一部分。","2","課程明確提到「AI工具在領導的應用、界線與倫理議題」及第15週「AI倫理」，顯示有負責任使用AI的初步內容；但未具體列出著作權、個資、偏誤、查證、揭露或責任歸屬等細項，因此屬於中度而非完整培養。","3","第14週為「AI工具運用於管理」，第13週為「AI素養」，且專題報告為主要評量，表示學生會將AI納入領導或管理情境進行應用；但大綱未說明是否需要驗證AI輸出、修正結果或進行完整人機分工。","2","「AI工具在領導的應用、界線與倫理議題」與「AI倫理」顯示課程有討論人類決策邊界與責任，但未明確要求比較AI建議、保有人類主體性或處理團隊溝通、同理與創意等無法取代的面向。","A=3;B=2;C=3;D=2","主要依據為課程明確包含AI素養、AI工具運用於管理與AI倫理，且以專題報告與操作作為學習活動。","A缺乏清楚的學習歷程設計；B未具體列出法規與風險管理細項；C缺少驗證修正與人機分工；D未明確置入同理、溝通與人類主體性的評量。"
